title,description,skill_name,skill_category,skill_keywords
Software Engineer,"Builds and maintains software applications across the stack.",Java,Technical,"java,spring,hibernate"
Software Engineer,"Builds and maintains software applications across the stack.",JavaScript,Technical,"javascript,typescript,node.js,react"
Software Engineer,"Builds and maintains software applications across the stack.",SQL,Data,"sql,postgresql,mysql,queries"
Software Engineer,"Builds and maintains software applications across the stack.",Systems Design,Technical,"systems design,architecture,microservices"
Software Engineer,"Builds and maintains software applications across the stack.",DevOps,Technical,"devops,ci/cd,docker,kubernetes"
Data Scientist,"Analyzes data and builds predictive models to drive decisions.",Python,Technical,"python,django,flask"
Data Scientist,"Analyzes data and builds predictive models to drive decisions.",SQL,Data,"sql,postgresql,mysql,queries"
Data Scientist,"Analyzes data and builds predictive models to drive decisions.",Machine Learning,Data,"machine learning,ml,scikit-learn,tensorflow"
Data Scientist,"Analyzes data and builds predictive models to drive decisions.",Data Analysis,Data,"data analysis,analytics,excel,pandas"
Data Scientist,"Analyzes data and builds predictive models to drive decisions.",Public Speaking,Communication,"public speaking,presentations,keynote"
Product Manager,"Defines product vision and coordinates cross-functional delivery.",Product Strategy,Leadership,"product strategy,roadmap,product management"
Product Manager,"Defines product vision and coordinates cross-functional delivery.",Project Management,Leadership,"project management,agile,scrum,jira"
Product Manager,"Defines product vision and coordinates cross-functional delivery.",Negotiation,Communication,"negotiation,deal-making"
Product Manager,"Defines product vision and coordinates cross-functional delivery.",Public Speaking,Communication,"public speaking,presentations,keynote"
Product Manager,"Defines product vision and coordinates cross-functional delivery.",Data Analysis,Data,"data analysis,analytics,excel,pandas"
Engineering Manager,"Leads engineering teams and drives technical execution.",Engineering Leadership,Leadership,"engineering leadership,team lead,mentoring"
Engineering Manager,"Leads engineering teams and drives technical execution.",Systems Design,Technical,"systems design,architecture,microservices"
Engineering Manager,"Leads engineering teams and drives technical execution.",Project Management,Leadership,"project management,agile,scrum,jira"
Engineering Manager,"Leads engineering teams and drives technical execution.",Negotiation,Communication,"negotiation,deal-making"
Engineering Manager,"Leads engineering teams and drives technical execution.",Java,Technical,"java,spring,hibernate"
Cloud Architect,"Designs scalable cloud infrastructure and platform solutions.",Cloud Computing,Technical,"cloud computing,aws,azure,gcp"
Cloud Architect,"Designs scalable cloud infrastructure and platform solutions.",Systems Design,Technical,"systems design,architecture,microservices"
Cloud Architect,"Designs scalable cloud infrastructure and platform solutions.",DevOps,Technical,"devops,ci/cd,docker,kubernetes"
Cloud Architect,"Designs scalable cloud infrastructure and platform solutions.",Java,Technical,"java,spring,hibernate"
Cloud Architect,"Designs scalable cloud infrastructure and platform solutions.",SQL,Data,"sql,postgresql,mysql,queries"
UX Designer,"Designs intuitive user experiences and interaction flows.",UI/UX Design,Technical,"ui/ux,figma,wireframes,prototyping"
UX Designer,"Designs intuitive user experiences and interaction flows.",Public Speaking,Communication,"public speaking,presentations,keynote"
UX Designer,"Designs intuitive user experiences and interaction flows.",Product Strategy,Leadership,"product strategy,roadmap,product management"
UX Designer,"Designs intuitive user experiences and interaction flows.",JavaScript,Technical,"javascript,typescript,node.js,react"
UX Designer,"Designs intuitive user experiences and interaction flows.",Data Analysis,Data,"data analysis,analytics,excel,pandas"
